filename,x,y
Frame_20250626_134008_176_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,640.29,297.86
Frame_20250626_134146_178_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,549.68,352.14
Frame_20250626_134241_180_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,736.79,366.41
Frame_20250626_134349_182_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,696.27,306.41
Frame_20250626_134926_184_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,806.45,334.24
Frame_20250626_135152_186_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,801.44,358.08
Frame_20250626_135247_188_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,678.27,320.19
Frame_20250626_135350_190_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,760.91,279.3
Frame_20250626_135507_192_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,576.83,313.68
Frame_20250626_135653_194_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,783.07,271.12
Frame_20250626_135822_196_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,597.38,313.55
Frame_20250626_135921_198_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,675.81,331.25
Frame_20250626_140038_200_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,552.7,360.37
Frame_20250626_140129_202_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,749.24,418.55
Frame_20250626_140800_204_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,632.78,438.66
Frame_20250626_140912_206_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,777.8,426.53
Frame_20250626_141003_208_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,819.42,429.94
Frame_20250626_141053_210_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,767.52,462.13
Frame_20250626_141139_212_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,765.11,458.45
Frame_20250626_141224_214_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,782.37,426.52
Frame_20250626_141342_216_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,610.3,370.02
Frame_20250626_141452_218_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,614.24,463.34
Frame_20250626_141816_220_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,537.49,399.63
Frame_20250626_141917_222_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,501.31,338.83
Frame_20250626_142353_224_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,624.14,416.43
Frame_20250626_142443_226_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,542.81,332.95
Frame_20250626_142537_228_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,530.12,363.55
Frame_20250626_142620_230_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,566.38,345.63
Frame_20250626_143418_232_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,591.67,403.02
Frame_20250626_143526_234_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,546.83,346.5
Frame_20250626_143623_236_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,520.51,338.67
Frame_20250626_144927_238_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,650.44,354.42
Frame_20250626_145032_240_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,705.19,399.61
Frame_20250626_145115_242_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,700.28,375.19
Frame_20250626_145158_244_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,704.18,389.74
Frame_20250626_145941_246_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,796.12,286.75
Frame_20250626_150042_248_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,595.4,376.76
Frame_20250626_150252_250_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,506.29,408.93
Frame_20250626_150359_252_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,569.39,317.73
Frame_20250626_163232_254_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,707.77,365.66
Frame_20250626_163318_256_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,733.25,370.6
Frame_20250626_163412_258_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,719.86,367.24
Frame_20250626_164638_260_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,640.53,375.88
Frame_20250626_171106_262_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,730.65,304.16
Frame_20250626_171158_264_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,757.5,360.6
Frame_20250626_195242_266_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,577.28,337.8
Frame_20250626_195602_268_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,732.62,332.01
Frame_20250626_195735_270_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,658.22,328.3
Frame_20250626_200018_272_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,464.49,412.73
Frame_20250626_200143_274_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,629.49,358.96
Frame_20250626_200502_276_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,818.56,344.29
Frame_20250626_201003_278_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Right.jpg,731.92,407.9
Frame_20250626_203308_280_LoaderFS1010FK_StorageHangerFaceplateStateDetect_Left.jpg,687.76,327.52
